Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
26,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.3869640925
27,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.4559446123
28,Male,5 - Senior Officer,N,4,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,20 to 29,27,Italy,Europe,Europe,4/1/2016,4,0.3083414004
29,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,Italy,Europe,Europe,4/1/2016,4,0.3020899563
30,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.07049010237
31,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.1788850786
32,Male,4 - Manager,N,1,Yes,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.7660047117
33,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,Germany,Europe,Europe,4/1/2014,6,0.3502411177
34,Female,5 - Senior Officer,N,1,Yes,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,5,5 - Senior Officer,N,2,30 to 39,37,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.5711980877
35,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.1500031802
36,Male,3 - Senior Manager,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Portugal,Europe,Europe,4/1/2015,5,0.6094719151
37,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.2689810319
38,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,,N,,20 to 29,27,Italy,Europe,Europe,4/1/2020,0,0.339248593
39,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.9664376374
40,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Germany,Europe,Europe,4/1/2017,3,0.3411757276
41,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,France,Europe,Europe,4/1/2018,2,0.8115841029
42,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.7904050681
43,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.1177461281
44,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Italy,Europe,Europe,4/1/2018,2,0.6177849735
45,Male,2 - Director,N,2,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,3,2 - Director,N,3,50 to 59,54,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.7995443704
46,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.221795332
47,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Austria,Europe,Europe,4/1/2016,4,0.9274868773
48,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,4/1/2017,3,0.502130701
49,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,HR,,6 - Junior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.9437521153
50,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Austria,Europe,Europe,4/1/2018,2,0.1852582127
51,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,6,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.9597171438
52,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,4/1/2012,8,0.7194251291
53,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.1051513419
54,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,7,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.07697319566
55,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.8192725258
56,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.3390681403
57,Female,4 - Manager,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,4 - Manager,N,3,30 to 39,38,United Kingdom,Europe,Europe,4/1/2016,4,0.7464954493
58,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.003828064396
59,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.4592607658
60,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,6 - Junior Officer,N,3,30 to 39,38,France,Europe,Europe,4/1/2017,3,0.183219286
61,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,23,France,Europe,Europe,4/1/2019,1,0.2145138431
62,Female,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,0.80,Part Time,,,,,2,5 - Senior Officer,N,3,50 to 59,56,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.694988038
63,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,20,United States,Americas,Elsewhere,4/1/2019,1,0.9500243465
64,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.04944645795
65,Female,2 - Director,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,45,France,Europe,Europe,4/1/2016,4,0.535747659
66,Female,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,39,Germany,Europe,Europe,4/1/2015,5,0.3413868887
67,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,1,40 to 49,46,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.1608961047
68,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,5,5 - Senior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.5271442541
69,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,United Kingdom,Europe,Europe,4/1/2018,2,0.6095076259
70,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.7663693966
71,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,40,Portugal,Europe,Europe,4/1/2011,9,0.959392927
72,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,France,Europe,Europe,4/1/2016,4,0.7860492164
73,Male,2 - Director,Y,,No,No,0.50,No,N,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,,N,,50 to 59,51,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.03785336516
74,Female,5 - Senior Officer,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,0.80,Part Time,,,,,3,5 - Senior Officer,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.2574710954
75,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.342062395
76,Female,4 - Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.2200602829
77,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,41,Germany,Europe,Europe,4/1/2016,4,0.3451873728
78,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,0.70,Part Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.722330192
79,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,26,Germany,Europe,Europe,4/1/2020,0,0.3770177705
80,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,0.50,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,France,Europe,Europe,4/1/2014,6,0.2407073164
81,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.009003634901
82,Male,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.5709835074
83,Female,6 - Junior Officer,N,4,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.9602673493
84,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.8319920242
85,Male,2 - Director,N,4,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,2,2 - Director,N,4,30 to 39,33,France,Europe,Europe,4/1/2017,3,0.5485250419
86,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.8723066367
87,Male,1 - Executive,N,,No,No,0.50,No,Y,Internal Services,,1 - Executive,Internal Services,Full Time,Full Time,,,,,3,1 - Executive,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.1662636678
88,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,HR,,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.7019590859
89,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,0,,N,,30 to 39,38,Germany,Europe,Europe,4/1/2020,0,0.8994099083
90,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.8841161759
